"","plant.id","species","treatment","blooming","date","percent.cover","rich","perennial","X","uniID","abun","H","Simpson","Species","Even"
"5.1.2017 184 open","184","larrea","open","post","5.1.2017",1,3,"","","5.1.2017 184 open",6,0,0,1,NA
"5.1.2017 184 shrub","184","larrea","shrub","post","5.1.2017",25,2,"","","5.1.2017 184 shrub",5,0.950270539233235,0.56,3,0.864973520717927
"5.1.2017 191 open","191","larrea","open","post","5.1.2017",3,3,"","","5.1.2017 191 open",5,0.500402423538188,0.32,2,0.721928094887362
"5.1.2017 191 shrub","191","larrea","shrub","post","5.1.2017",50,2,"","","5.1.2017 191 shrub",5,0.500402423538188,0.32,2,0.721928094887362
"5.1.2017 199 open","199","larrea","open","post","5.1.2017",5,2,"","","5.1.2017 199 open",15,1.08057384836485,0.524444444444444,5,0.671398281360604
"5.1.2017 199 shrub","199","larrea","shrub","post","5.1.2017",30,2,"","","5.1.2017 199 shrub",5,0,0,1,NA
"5.1.2017 271 open","271","larrea","open","post","5.1.2017",1,1,"","","5.1.2017 271 open",6,0.867563228481461,0.5,3,0.789690082142847
"5.1.2017 271 shrub","271","larrea","shrub","post","5.1.2017",25,2,"","","5.1.2017 271 shrub",6,1.01140426470735,0.611111111111111,3,0.920619835714305
"5.1.2017 278 open","278","larrea","open","post","5.1.2017",1,3,"","","5.1.2017 278 open",2,0,0,1,NA
"5.1.2017 278 shrub","278","larrea","shrub","post","5.1.2017",2,3,"","","5.1.2017 278 shrub",2,0,0,1,NA
"5.1.2017 296 open","296","larrea","open","post","5.1.2017",3,4,"","","5.1.2017 296 open",1,0,0,1,NA
"5.1.2017 296 shrub","296","larrea","shrub","post","5.1.2017",15,2,"","","5.1.2017 296 shrub",2,0,0,1,NA
"5.3.2017 183 open","183","larrea","open","post","5.3.2017",1,2,"","","5.3.2017 183 open",4,1.38629436111989,0.75,4,1
"5.3.2017 183 shrub","183","larrea","shrub","post","5.3.2017",5,2,"","","5.3.2017 183 shrub",4,1.03972077083992,0.625,3,0.946394630357186
"5.3.2017 187 open","187","larrea","open","post","5.3.2017",1,1,"","","5.3.2017 187 open",9,0.683738905848754,0.37037037037037,3,0.622365972874449
"5.3.2017 187 shrub","187","larrea","shrub","post","5.3.2017",50,2,"","","5.3.2017 187 shrub",12,2.0228085294147,0.861111111111111,8,0.972765278018163
"5.3.2017 263 open","263","larrea","open","post","5.3.2017",2,3,"","","5.3.2017 263 open",19,1.94084303274077,0.81994459833795,9,0.883315730563024
"5.3.2017 263 shrub","263","larrea","shrub","post","5.3.2017",8,2,"","","5.3.2017 263 shrub",12,1.79175946922805,0.805555555555556,7,0.920782221161602
"5.3.2017 274 open","274","larrea","open","post","5.3.2017",2,3,"","","5.3.2017 274 open",12,2.09472904752765,0.861111111111111,9,0.953352274107169
"5.3.2017 274 shrub","274","larrea","shrub","post","5.3.2017",25,2,"","","5.3.2017 274 shrub",11,1.54030582522652,0.727272727272727,6,0.859661049197707
"5.3.2017 285 open","285","larrea","open","post","5.3.2017",8,2,"","","5.3.2017 285 open",11,1.84622021932163,0.826446280991736,7,0.948769510358905
"5.3.2017 285 shrub","285","larrea","shrub","post","5.3.2017",30,3,"","","5.3.2017 285 shrub",29,2.27953816680831,0.856123662306778,14,0.863769854950684
"5.3.2017 290 open","290","larrea","open","post","5.3.2017",1,3,"","","5.3.2017 290 open",8,1.90615474653985,0.84375,7,0.979569764547061
"5.3.2017 290 shrub","290","larrea","shrub","post","5.3.2017",20,2,"","","5.3.2017 290 shrub",3,1.09861228866811,0.666666666666667,3,1
"5.4.2017 198 open","198","larrea","open","post","5.4.2017",1,2,"","","5.4.2017 198 open",15,1.93380999892063,0.835555555555556,8,0.929966031821429
"5.4.2017 198 shrub","198","larrea","shrub","post","5.4.2017",45,4,"","","5.4.2017 198 shrub",8,1.90615474653985,0.84375,7,0.979569764547061
"5.4.2017 261 open","261","larrea","open","post","5.4.2017",4,1,"","","5.4.2017 261 open",13,1.6313454208086,0.733727810650888,7,0.838345707586021
"5.4.2017 261 shrub","261","larrea","shrub","post","5.4.2017",2,3,"","","5.4.2017 261 shrub",12,2.25385758960135,0.888888888888889,10,0.978837914159631
"5.4.2017 273 open","273","larrea","open","post","5.4.2017",1,2,"","","5.4.2017 273 open",12,1.47350238508065,0.694444444444444,6,0.822377339362118
"5.4.2017 273 shrub","273","larrea","shrub","post","5.4.2017",20,3,"","","5.4.2017 273 shrub",11,1.89378823239114,0.809917355371901,8,0.910719630454857
"5.4.2017 280 open","280","larrea","open","post","5.4.2017",20,2,"","","5.4.2017 280 open",15,1.61511955006041,0.728888888888889,7,0.830007259505023
"5.4.2017 280 shrub","280","larrea","shrub","post","5.4.2017",25,3,"","","5.4.2017 280 shrub",13,2.13839724634772,0.85207100591716,10,0.928694124205925
"5.4.2017 283 open","283","larrea","open","post","5.4.2017",4,2,"","","5.4.2017 283 open",11,1.51570795208571,0.760330578512397,5,0.94176230122066
"5.4.2017 283 shrub","283","larrea","shrub","post","5.4.2017",20,1,"","","5.4.2017 283 shrub",17,2.15006022448424,0.865051903114187,10,0.93375929125317
"5.4.2017 291 open","291","larrea","open","post","5.4.2017",2,2,"","","5.4.2017 291 open",6,1.56071040904141,0.777777777777778,5,0.969723899868247
"5.4.2017 291 shrub","291","larrea","shrub","post","5.4.2017",40,3,"","","5.4.2017 291 shrub",12,2.0228085294147,0.833333333333333,9,0.920619835714305
"5.5.2017 185 open","185","larrea","open","post","5.5.2017",1,2,"","","5.5.2017 185 open",15,2.39590811929393,0.897777777777778,12,0.964184356582705
"5.5.2017 185 shrub","185","larrea","shrub","post","5.5.2017",75,3,"","","5.5.2017 185 shrub",10,1.74806734854609,0.78,7,0.898328912768521
"5.5.2017 193 open","193","larrea","open","post","5.5.2017",1,3,"","","5.5.2017 193 open",20,1.8683517776407,0.76,10,0.811414867283489
"5.5.2017 193 shrub","193","larrea","shrub","post","5.5.2017",50,2,"","","5.5.2017 193 shrub",11,2.14584175259475,0.87603305785124,9,0.976614668672713
"5.5.2017 281 open","281","larrea","open","post","5.5.2017",1,3,"","","5.5.2017 281 open",5,0.673011667009257,0.48,2,0.970950594454669
"5.5.2017 281 shrub","281","larrea","shrub","post","5.5.2017",45,1,"","","5.5.2017 281 shrub",6,1.56071040904141,0.777777777777778,5,0.969723899868247
"5.5.2017 300 open","300","larrea","open","post","5.5.2017",4,3,"","","5.5.2017 300 open",6,1.79175946922805,0.833333333333333,6,1
"5.5.2017 300 shrub","300","larrea","shrub","post","5.5.2017",15,3,"","","5.5.2017 300 shrub",4,1.38629436111989,0.75,4,1
"5.5.2017 302 open","302","larrea","open","post","5.5.2017",2,2,"","","5.5.2017 302 open",17,2.01774607280922,0.844290657439446,9,0.918315812421602
"5.5.2017 302 shrub","302","larrea","shrub","post","5.5.2017",25,2,"","","5.5.2017 302 shrub",13,2.24503527412618,0.887573964497041,10,0.975006431231153
"5.5.2017 303 open","303","larrea","open","post","5.5.2017",3,2,"","","5.5.2017 303 open",13,2.24503527412618,0.887573964497041,10,0.975006431231153
"5.5.2017 303 shrub","303","larrea","shrub","post","5.5.2017",50,1,"","","5.5.2017 303 shrub",16,2.18732231884925,0.875,10,0.949942013220056
